,name,type,extension,path,date
1081,051360,ohlcv,parquet,/ohlcv/051360.parquet,20251124
1082,065440,ohlcv,parquet,/ohlcv/065440.parquet,20251124
1083,018470,ohlcv,parquet,/ohlcv/018470.parquet,20251124
1084,484120,ohlcv,parquet,/ohlcv/484120.parquet,20251124
1085,036810,ohlcv,parquet,/ohlcv/036810.parquet,20251124
1086,097520,ohlcv,parquet,/ohlcv/097520.parquet,20251124
1087,241690,ohlcv,parquet,/ohlcv/241690.parquet,20251124
1088,039860,ohlcv,parquet,/ohlcv/039860.parquet,20251124
1089,306200,ohlcv,parquet,/ohlcv/306200.parquet,20251124
1090,031440,ohlcv,parquet,/ohlcv/031440.parquet,20251124
1091,187870,ohlcv,parquet,/ohlcv/187870.parquet,20251124
1092,013520,ohlcv,parquet,/ohlcv/013520.parquet,20251124
1093,017890,ohlcv,parquet,/ohlcv/017890.parquet,20251124
1094,084990,ohlcv,parquet,/ohlcv/084990.parquet,20251124
1095,293480,ohlcv,parquet,/ohlcv/293480.parquet,20251124
1096,377450,ohlcv,parquet,/ohlcv/377450.parquet,20251124
1097,250060,ohlcv,parquet,/ohlcv/250060.parquet,20251124
1098,145990,ohlcv,parquet,/ohlcv/145990.parquet,20251124
1099,900270,ohlcv,parquet,/ohlcv/900270.parquet,20251124
1100,419530,ohlcv,parquet,/ohlcv/419530.parquet,20251124
1101,064820,ohlcv,parquet,/ohlcv/064820.parquet,20251124
1102,192650,ohlcv,parquet,/ohlcv/192650.parquet,20251124
1103,058430,ohlcv,parquet,/ohlcv/058430.parquet,20251124
1104,012610,ohlcv,parquet,/ohlcv/012610.parquet,20251124
1105,036800,ohlcv,parquet,/ohlcv/036800.parquet,20251124
1106,307180,ohlcv,parquet,/ohlcv/307180.parquet,20251124
1107,022100,ohlcv,parquet,/ohlcv/022100.parquet,20251124
1108,488280,ohlcv,parquet,/ohlcv/488280.parquet,20251124
1109,255220,ohlcv,parquet,/ohlcv/255220.parquet,20251124
1110,417970,ohlcv,parquet,/ohlcv/417970.parquet,20251124
1111,005500,ohlcv,parquet,/ohlcv/005500.parquet,20251124
1112,085670,ohlcv,parquet,/ohlcv/085670.parquet,20251124
1113,171090,ohlcv,parquet,/ohlcv/171090.parquet,20251124
1114,211050,ohlcv,parquet,/ohlcv/211050.parquet,20251124
1115,395400,ohlcv,parquet,/ohlcv/395400.parquet,20251124
1116,017390,ohlcv,parquet,/ohlcv/017390.parquet,20251124
1117,016800,ohlcv,parquet,/ohlcv/016800.parquet,20251124
1118,040350,ohlcv,parquet,/ohlcv/040350.parquet,20251124
1119,476040,ohlcv,parquet,/ohlcv/476040.parquet,20251124
1120,221800,ohlcv,parquet,/ohlcv/221800.parquet,20251124
1121,090360,ohlcv,parquet,/ohlcv/090360.parquet,20251124
1122,030520,ohlcv,parquet,/ohlcv/030520.parquet,20251124
1123,415640,ohlcv,parquet,/ohlcv/415640.parquet,20251124
1124,014710,ohlcv,parquet,/ohlcv/014710.parquet,20251124
1125,102710,ohlcv,parquet,/ohlcv/102710.parquet,20251124
1126,327260,ohlcv,parquet,/ohlcv/327260.parquet,20251124
1127,042510,ohlcv,parquet,/ohlcv/042510.parquet,20251124
1128,019010,ohlcv,parquet,/ohlcv/019010.parquet,20251124
1129,000640,ohlcv,parquet,/ohlcv/000640.parquet,20251124
1130,112610,ohlcv,parquet,/ohlcv/112610.parquet,20251124
1131,062970,ohlcv,parquet,/ohlcv/062970.parquet,20251124
1132,236200,ohlcv,parquet,/ohlcv/236200.parquet,20251124
1133,179290,ohlcv,parquet,/ohlcv/179290.parquet,20251124
1134,122310,ohlcv,parquet,/ohlcv/122310.parquet,20251124
1135,060150,ohlcv,parquet,/ohlcv/060150.parquet,20251124
1136,160980,ohlcv,parquet,/ohlcv/160980.parquet,20251124
1137,069620,ohlcv,parquet,/ohlcv/069620.parquet,20251124
1138,051910,ohlcv,parquet,/ohlcv/051910.parquet,20251124
1139,063160,ohlcv,parquet,/ohlcv/063160.parquet,20251124
1140,073240,ohlcv,parquet,/ohlcv/073240.parquet,20251124
1141,271940,ohlcv,parquet,/ohlcv/271940.parquet,20251124
1142,128820,ohlcv,parquet,/ohlcv/128820.parquet,20251124
1143,000320,ohlcv,parquet,/ohlcv/000320.parquet,20251124
1144,064290,ohlcv,parquet,/ohlcv/064290.parquet,20251124
1145,004170,ohlcv,parquet,/ohlcv/004170.parquet,20251124
1146,001540,ohlcv,parquet,/ohlcv/001540.parquet,20251124
1147,304360,ohlcv,parquet,/ohlcv/304360.parquet,20251124
1148,005860,ohlcv,parquet,/ohlcv/005860.parquet,20251124
